origin,destination,departure_date,collection_date,advance_window_days,total_fare_inr,base_fare_inr,taxes_inr,udf_inr,convenience_fee_inr,carrier,flight_number,depart_time_local,fare_class,source_portal
BOM,BLR,2026-09-23,2026-09-08,15,5400.0,4122.0,1278.0,,,QP,QP1518,21:45,EC,akasa
BOM,BLR,2026-09-23,2026-09-08,15,5978.0,4672.0,1306.0,,,QP,QP1518,21:45,AV,akasa
BOM,BLR,2026-09-23,2026-09-08,15,5400.0,4122.0,1278.0,,,QP,QP1384,23:10,EC,akasa
BOM,BLR,2026-09-23,2026-09-08,15,5978.0,4672.0,1306.0,,,QP,QP1384,23:10,AV,akasa
BOM,BLR,2026-09-23,2026-09-08,15,5400.0,4122.0,1278.0,,,QP,QP1985,23:20,EC,akasa
BOM,BLR,2026-09-23,2026-09-08,15,5978.0,4672.0,1306.0,,,QP,QP1985,23:20,AV,akasa
BOM,BLR,2026-09-23,2026-09-08,15,6023.0,4715.0,1308.0,,,QP,QP1527,07:35,EC,akasa
BOM,BLR,2026-09-23,2026-09-08,15,6601.0,5265.0,1336.0,,,QP,QP1527,07:35,AV,akasa
BOM,BLR,2026-09-23,2026-09-08,15,7549.0,6169.0,1380.0,,,QP,QP1382,18:20,EC,akasa
BOM,BLR,2026-09-23,2026-09-08,15,8127.0,6719.0,1408.0,,,QP,QP1382,18:20,AV,akasa
BOM,BLR,2026-09-23,2026-09-08,15,7549.0,6169.0,1380.0,,,QP,QP1133,19:40,EC,akasa
BOM,BLR,2026-09-23,2026-09-08,15,8127.0,6719.0,1408.0,,,QP,QP1133,19:40,AV,akasa
BOM,BLR,2026-09-23,2026-09-08,15,7845.0,6451.0,1394.0,,,QP,QP1129,08:45,EC,akasa
BOM,BLR,2026-09-23,2026-09-08,15,8423.0,7001.0,1422.0,,,QP,QP1129,08:45,AV,akasa
BOM,BLR,2026-10-08,2026-09-08,30,5400.0,4122.0,1278.0,,,QP,QP1516,00:40,EC,akasa
BOM,BLR,2026-10-08,2026-09-08,30,5978.0,4672.0,1306.0,,,QP,QP1516,00:40,AV,akasa
BOM,BLR,2026-10-08,2026-09-08,30,5400.0,4122.0,1278.0,,,QP,QP1149,05:35,EC,akasa
BOM,BLR,2026-10-08,2026-09-08,30,5978.0,4672.0,1306.0,,,QP,QP1149,05:35,AV,akasa
BOM,BLR,2026-10-08,2026-09-08,30,5400.0,4122.0,1278.0,,,QP,QP1153,09:30,EC,akasa
BOM,BLR,2026-10-08,2026-09-08,30,5978.0,4672.0,1306.0,,,QP,QP1153,09:30,AV,akasa
BOM,BLR,2026-10-08,2026-09-08,30,5400.0,4122.0,1278.0,,,QP,QP1133,20:05,EC,akasa
BOM,BLR,2026-10-08,2026-09-08,30,5978.0,4672.0,1306.0,,,QP,QP1133,20:05,AV,akasa
BOM,BLR,2026-10-08,2026-09-08,30,5400.0,4122.0,1278.0,,,QP,QP1518,21:45,EC,akasa
BOM,BLR,2026-10-08,2026-09-08,30,5978.0,4672.0,1306.0,,,QP,QP1518,21:45,AV,akasa
BOM,BLR,2026-10-23,2026-09-08,45,6023.0,4715.0,1308.0,,,QP,QP1516,00:40,EC,akasa
BOM,BLR,2026-10-23,2026-09-08,45,6601.0,5265.0,1336.0,,,QP,QP1516,00:40,AV,akasa
BOM,BLR,2026-10-23,2026-09-08,45,7549.0,6169.0,1380.0,,,QP,QP1133,20:05,EC,akasa
BOM,BLR,2026-10-23,2026-09-08,45,8127.0,6719.0,1408.0,,,QP,QP1133,20:05,AV,akasa
BOM,BLR,2026-10-23,2026-09-08,45,7549.0,6169.0,1380.0,,,QP,QP1518,21:45,EC,akasa
BOM,BLR,2026-10-23,2026-09-08,45,8127.0,6719.0,1408.0,,,QP,QP1518,21:45,AV,akasa
BOM,DEL,2026-09-09,2026-09-08,1,6873.0,5603.0,1270.0,,,QP,QP1111,05:25,EC,akasa
BOM,DEL,2026-09-09,2026-09-08,1,7274.0,5984.0,1290.0,,,QP,QP1111,05:25,AV,akasa
BOM,DEL,2026-09-09,2026-09-08,1,6873.0,5603.0,1270.0,,,QP,QP1834,10:20,EC,akasa
BOM,DEL,2026-09-09,2026-09-08,1,7274.0,5984.0,1290.0,,,QP,QP1834,10:20,AV,akasa
BOM,DEL,2026-09-09,2026-09-08,1,6873.0,5603.0,1270.0,,,QP,QP1835,11:50,EC,akasa
BOM,DEL,2026-09-09,2026-09-08,1,7274.0,5984.0,1290.0,,,QP,QP1835,11:50,AV,akasa
BOM,DEL,2026-09-09,2026-09-08,1,6873.0,5603.0,1270.0,,,QP,QP1127,13:00,EC,akasa
BOM,DEL,2026-09-09,2026-09-08,1,7274.0,5984.0,1290.0,,,QP,QP1127,13:00,AV,akasa
BOM,DEL,2026-09-09,2026-09-08,1,6873.0,5603.0,1270.0,,,QP,QP1819,14:30,EC,akasa
BOM,DEL,2026-09-09,2026-09-08,1,7274.0,5984.0,1290.0,,,QP,QP1819,14:30,AV,akasa
